web-scraper-order,web-scraper-start-url,product-name,product-description-optional,product-code,discount-amount,list-price-before-discount,availability,product-image-src,offer-validity,offer-start-date,offer-end-date
1718592851-36,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Mobil 1 Synthetic Motor Oil,6/1 qt case,966095,10,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-mobil-oil.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-37,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Nescafé Taster's Choice House Blend Coffee,14 oz,1244454,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1244454-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-38,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Keurig Brewed K-Cup Pods,100 ct,9140972,7,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1818035-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-39,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Starbucks Medium Roast Pike Place K-Cup Pods,72 ct,3123235,7,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=3123235-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-40,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Zico Coconut Water,18/11.2 fl oz,1369946,6,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-coconut-water.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-41,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Glacéau Smartwater,15/1 L,1105983,3,,,https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-smart-water.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-42,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Perrier Sparkling Water,24/16.9 fl oz,12731,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=12731-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-43,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,The Good Bean Organic Sea Salt Chickpeas,18 oz,1027818,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1027818-inc__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-44,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Bare Organic Apple Chips,14 oz,716752,3,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=716752-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-45,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,4505 Chicharrones Chili & Salt Fried Pork Rinds,7 oz,1272625,2,,,https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-pork-rinds.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-46,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Pure Protein Bar Variety Pack,21 ct,1360248,5,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1360248-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-47,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Nature's Bakery Fig Bar Variety Pack,36/2 oz,1231199,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1231199-inc__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-48,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Nature's Garden Heart Healthy Trail Mix,26 oz,1378049,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1378049-inc&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-49,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Late July Snacks Organic Sea Salt Multigrain Tortilla Chips,28 oz,1125156,2,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1125156-inc__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-50,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Pepperidge Farm Goldfish Crackers,45/1 oz,1013100,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1013100-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-51,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Frito-Lay Oven Baked Chips Variety Pack,30 ct,1315382,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1315382-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-52,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Capri Sun Juice Drink Variety Pack,40 ct,438851,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=438851-847__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-53,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Planters Dry Roasted Peanuts,52 oz,2826,,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=2826-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
